cluster,n_cells,author_label,author_std,celltypist_raw,celltypist_std,celltypist_correct,celltypist_conf
0,828,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
1,707,Myeloid,Myeloid cells,Macrophages,Myeloid cells,True,1.0
2,645,T/NK,T/NK,Tem/Effector helper T cells,T lymphocytes,False,1.0
3,594,Myeloid,Myeloid cells,Macrophages,Myeloid cells,True,1.0
4,510,T/NK,T/NK,Regulatory T cells,T lymphocytes,False,1.0
5,476,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
6,441,Hepatocyte,Hepatocytes,Macrophages,Myeloid cells,False,1.0
7,439,Endothelial,Endothelial cells,Endothelial cells,Endothelial cells,True,1.0
8,426,B,B lymphocytes,Plasma cells,B lymphocytes,True,1.0
9,420,Fibroblast,Fibroblasts,Endothelial cells,Endothelial cells,False,1.0
10,419,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
11,390,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
12,376,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
13,357,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
14,304,Myeloid,Myeloid cells,Macrophages,Myeloid cells,True,1.0
15,258,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
16,232,T/NK,T/NK,Tem/Trm cytotoxic T cells,T lymphocytes,False,1.0
17,198,B,B lymphocytes,Memory B cells,B lymphocytes,True,1.0
18,163,T/NK,T/NK,Regulatory T cells,T lymphocytes,False,1.0
19,154,Hepatocyte,Hepatocytes,Macrophages,Myeloid cells,False,1.0
20,152,Hepatocyte,Hepatocytes,Epithelial cells,Epithelial cells,False,1.0
21,145,T/NK,T/NK,CD16- NK cells,T lymphocytes,False,1.0
22,131,Myeloid,Myeloid cells,Kupffer cells,Myeloid cells,True,1.0
23,81,Myeloid,Myeloid cells,Macrophages,Myeloid cells,True,1.0
24,22,Myeloid,Myeloid cells,Mast cells,Mast cells,False,1.0
