cluster,author_label,purity_pct,n_cells
0,Hepatocyte,77.8,828
1,Myeloid,43.7,707
2,T/NK,54.7,645
3,Myeloid,46.1,594
4,T/NK,45.1,510
5,Hepatocyte,68.3,476
6,Hepatocyte,47.8,441
7,Endothelial,38.0,439
8,B,40.8,426
9,Fibroblast,32.6,420
10,Hepatocyte,53.9,419
11,Hepatocyte,78.2,390
12,Hepatocyte,65.4,376
13,Hepatocyte,47.1,357
14,Myeloid,64.8,304
15,Hepatocyte,62.8,258
16,T/NK,44.8,232
17,B,31.8,198
18,T/NK,47.9,163
19,Hepatocyte,50.0,154
20,Hepatocyte,77.6,152
21,T/NK,49.7,145
22,Myeloid,33.6,131
23,Myeloid,60.5,81
24,Myeloid,36.4,22
